,Coinpair,Close,Volume,50DSMA,200DSMA,MarketPhase
2022-11-24,MOBBUSD,0.606,1669334399999.0,0.76622,1.154515,bearish
2022-11-24,MOVRBUSD,8.04,1669334399999.0,9.8938,13.787650000000001,bearish
2022-11-24,MTLBUSD,0.756,1669334399999.0,0.8981999999999999,1.1974,bearish
2022-11-24,MULTIBUSD,3.7,1669334399999.0,3.9156,4.5834,bearish
2022-11-24,NEARBUSD,1.68,1669334399999.0,2.6918599999999997,4.04967,bearish
2022-11-24,NEOBUSD,6.9,1669334399999.0,7.7622,9.37745,bearish
2022-11-24,NEXOBUSD,0.714,1669334399999.0,0.85772,0.90307,bearish
2022-11-24,NMRBUSD,11.18,1669334399999.0,13.6768,14.9244,bearish
2022-11-24,NULSBUSD,0.1806,1669334399999.0,0.20204799999999998,0.206776,bearish
2022-11-24,OCEANBUSD,0.1285,1669334399999.0,0.15955,0.1828945,bearish
2022-11-24,OGNBUSD,0.1028,1669334399999.0,0.130436,0.1930285,bearish
2022-11-24,OMBUSD,0.0328,1669334399999.0,0.038374,0.045221,bearish
2022-11-24,OMGBUSD,1.171,1669334399999.0,1.4757399999999998,1.917945,bearish
2022-11-24,ONEBUSD,0.01432,1669334399999.0,0.0171066,0.024819,bearish
2022-11-24,ONTBUSD,0.1823,1669334399999.0,0.20337600000000003,0.240711,bearish
2022-11-24,OOKIBUSD,0.00369,1669334399999.0,0.0040558,0.0051161,bearish
2022-11-24,ORNBUSD,0.9,1669334399999.0,1.0361399999999998,1.23438,bearish
2022-11-24,OXTBUSD,0.0812,1669334399999.0,0.09068000000000001,0.1072515,bearish
2022-11-24,PAXGBUSD,1747.0,1669334399999.0,1682.9,1744.355,accumulation
2022-11-24,PEOPLEBUSD,0.02372,1669334399999.0,0.021306200000000004,0.023301,accumulation
2022-11-24,PERPBUSD,0.40776,1669334399999.0,0.5155228000000001,0.7676607,bearish
2022-11-24,PHABUSD,0.1523,1669334399999.0,0.164912,0.1257915,warning
2022-11-24,PLABUSD,0.21,1669334399999.0,0.26408000000000004,0.37176000000000003,bearish
2022-11-24,POLSBUSD,0.349,1669334399999.0,0.41472000000000003,0.51742,bearish
2022-11-24,PONDBUSD,0.00838,1669334399999.0,0.009755199999999999,0.0107884,bearish
2022-11-24,PORTOBUSD,4.1991,1669334399999.0,4.393926,3.7198890000000002,warning
2022-11-24,POWRBUSD,0.1521,1669334399999.0,0.177866,0.22019950000000002,bearish
2022-11-24,PROMBUSD,4.28,1669334399999.0,5.131799999999999,5.2905999999999995,bearish
2022-11-24,PSGBUSD,5.62,1669334399999.0,6.6484000000000005,7.4484,bearish
2022-11-24,PYRBUSD,2.92,1669334399999.0,3.8582,3.8498,distribution
2022-11-24,QIBUSD,0.00912,1669334399999.0,0.008073,0.01225845,recovery
2022-11-24,QNTBUSD,114.2,1669334399999.0,148.904,103.911,warning
2022-11-24,QTUMBUSD,2.176,1669334399999.0,2.54724,3.18738,bearish
2022-11-24,QUICKBUSD,51.7,1669334399999.0,58.6,65.3805,bearish
2022-11-24,RADBUSD,1.579,1669334399999.0,1.8709799999999999,2.036855,bearish
2022-11-24,RAREBUSD,0.1382,1669334399999.0,0.13849999999999998,0.20472,bearish
2022-11-24,RAYBUSD,0.2246,1669334399999.0,0.413808,0.6997570000000001,bearish
2022-11-24,REEFBUSD,0.003036,1669334399999.0,0.00495282,0.0043339450000000005,distribution
2022-11-24,RENBUSD,0.081909,1669334399999.0,0.10702214,0.127172535,bearish
2022-11-24,REQBUSD,0.0918,1669334399999.0,0.100644,0.1110885,bearish
2022-11-24,RNDRBUSD,0.455,1669334399999.0,0.5199,0.58366,bearish
2022-11-24,ROSEBUSD,0.04653,1669334399999.0,0.05558899999999999,0.06296560000000001,bearish
2022-11-24,RSRBUSD,0.00403,1669334399999.0,0.0057778,0.00650135,bearish
2022-11-24,RUNEBUSD,1.185,1669334399999.0,1.40782,2.104365,bearish
2022-11-24,RVNBUSD,0.02331,1669334399999.0,0.028486400000000002,0.0307266,bearish
2022-11-24,SANDBUSD,0.5713,1669334399999.0,0.729142,1.03284,bearish
2022-11-24,SANTOSBUSD,7.33,1669334399999.0,11.256799999999998,8.22452,distribution
2022-11-24,SCBUSD,0.00263,1669334399999.0,0.003027,0.0040073,bearish
2022-11-24,SCRTBUSD,0.691,1669334399999.0,0.83978,1.13383,bearish
2022-11-24,SFPBUSD,0.5073,1669334399999.0,0.427402,0.3873935,bullish
2022-11-24,SHIBBUSD,9.02e-06,1669334399999.0,1.0368e-05,1.12221e-05,bearish
2022-11-24,SKLBUSD,0.02632,1669334399999.0,0.0333,0.0507087,bearish
2022-11-24,SLPBUSD,0.00249,1669334399999.0,0.003064,0.0040160000000000005,bearish
2022-11-24,SNXBUSD,1.753,1669334399999.0,2.1319199999999996,2.673105,bearish
2022-11-24,SOLBUSD,14.15,1669334399999.0,25.503800000000002,35.301050000000004,bearish
2022-11-24,SPELLBUSD,0.0006428,1669334399999.0,0.0008147,0.001089483,bearish
2022-11-24,SRMBUSD,0.2795,1669334399999.0,0.5939854,0.85371635,bearish
2022-11-24,STMXBUSD,0.005334,1669334399999.0,0.00622094,0.007662995000000001,bearish
2022-11-24,STORJBUSD,0.3452,1669334399999.0,0.395638,0.543234,bearish
2022-11-24,STPTBUSD,0.03663,1669334399999.0,0.037768800000000005,0.04386155,bearish
2022-11-24,STRAXBUSD,0.482,1669334399999.0,0.51508,0.59975,bearish
2022-11-24,STXBUSD,0.231,1669334399999.0,0.28528,0.39313499999999996,bearish
2022-11-24,SUNBUSD,0.00516,1669334399999.0,0.0059614,0.00655125,bearish
